date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:31:52	26137/26137	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202015%2011:01:49%20GMT	http://www.haktuts.com/	C:/My%20Web%20Sites/haktut/www.haktuts.com/index.html	(from )
16:31:52	89/89	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202015%2011:01:50%20GMT	http://www.haktuts.com/robots.txt		(from )
16:31:55	16553/16553	---M--	200	added ('OK')	text/css	date:Tue,%2009%20Jun%202015%2015:49:34%20GMT	http://www.haktuts.com/css/bootstrap-responsive.min.css	C:/My%20Web%20Sites/haktut/www.haktuts.com/css/bootstrap-responsive.min.css	(from http://www.haktuts.com/)
16:31:57	103314/103314	---M--	200	added ('OK')	text/css	date:Tue,%2009%20Jun%202015%2015:49:34%20GMT	http://www.haktuts.com/css/bootstrap.min.css	C:/My%20Web%20Sites/haktut/www.haktuts.com/css/bootstrap.min.css	(from http://www.haktuts.com/)
16:31:58	2154/2154	---M--	200	added ('OK')	application/javascript	date:Tue,%2009%20Jun%202015%2015:49:34%20GMT	http://www.haktuts.com/js/main.js	C:/My%20Web%20Sites/haktut/www.haktuts.com/js/main.js	(from http://www.haktuts.com/)
16:31:59	22058/22058	---M--	200	added ('OK')	text/css	date:Tue,%2009%20Jun%202015%2015:49:34%20GMT	http://www.haktuts.com/css/site.css?v=1.0.12	C:/My%20Web%20Sites/haktut/www.haktuts.com/css/site6421.css	(from http://www.haktuts.com/)
16:32:00	24371/24371	---M--	200	added ('OK')	text/css	date:Tue,%2009%20Jun%202015%2015:49:40%20GMT	http://www.haktuts.com/css/common.css?ts=1433839776	C:/My%20Web%20Sites/haktut/www.haktuts.com/css/commond81a.css	(from http://www.haktuts.com/)
16:32:01	24405/24405	---M--	200	added ('OK')	text/css	date:Tue,%2009%20Jun%202015%2015:49:36%20GMT	http://www.haktuts.com/css/1.css?ts=1433839776	C:/My%20Web%20Sites/haktut/www.haktuts.com/css/1d81a.css	(from http://www.haktuts.com/)
16:32:02	890/890	---M--	200	added ('OK')	image/png	date:Fri,%2012%20Jun%202015%2011:02:00%20GMT	http://haktuts.com/gallery/icon-ts1413278622.png	C:/My%20Web%20Sites/haktut/haktuts.com/gallery/icon-ts1413278622.png	(from http://www.haktuts.com/)
16:32:02	26898/26898	---M--	200	added ('OK')	application/javascript	date:Tue,%2009%20Jun%202015%2015:49:34%20GMT	http://www.haktuts.com/js/bootstrap.min.js	C:/My%20Web%20Sites/haktut/www.haktuts.com/js/bootstrap.min.js	(from http://www.haktuts.com/)
16:32:02	15647/15647	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22b53637b3f8c57aa4f06b253f4f02ea3b%22	http://ab.airpush.com/apportal/client/airpush.js?siteid=263411&testmode=0&banner360=1&banner=slot1&placementid=0&tp=0	C:/My%20Web%20Sites/haktut/ab.airpush.com/apportal/client/airpusha01c.js	(from http://www.haktuts.com/)
16:32:03	26137/26137	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202015%2011:02:00%20GMT	http://www.haktuts.com/Home/	C:/My%20Web%20Sites/haktut/www.haktuts.com/Home/index.html	(from http://www.haktuts.com/)
16:32:03	30013/30013	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202015%2011:02:01%20GMT	http://www.haktuts.com/Free-ethical-hacking-course-online/	C:/My%20Web%20Sites/haktut/www.haktuts.com/Free-ethical-hacking-course-online/index.html	(from http://www.haktuts.com/)
16:32:04	10664/10664	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202015%2011:02:01%20GMT	http://www.haktuts.com/Linux/	C:/My%20Web%20Sites/haktut/www.haktuts.com/Linux/index.html	(from http://www.haktuts.com/)
16:32:04	10192/10192	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202015%2011:02:02%20GMT	http://www.haktuts.com/Tips-and-tricks/	C:/My%20Web%20Sites/haktut/www.haktuts.com/Tips-and-tricks/index.html	(from http://www.haktuts.com/)
16:32:05	8990/8990	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202015%2011:02:02%20GMT	http://www.haktuts.com/how-to-share-internet-without-wifi/	C:/My%20Web%20Sites/haktut/www.haktuts.com/how-to-share-internet-without-wifi/index.html	(from http://www.haktuts.com/)
16:32:05	12349/12349	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202015%2011:02:03%20GMT	http://www.haktuts.com/basic-windows-command/	C:/My%20Web%20Sites/haktut/www.haktuts.com/basic-windows-command/index.html	(from http://www.haktuts.com/)
16:32:07	44363/44363	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202015%2011:02:04%20GMT	http://www.haktuts.com/top-20-notepad-trick/	C:/My%20Web%20Sites/haktut/www.haktuts.com/top-20-notepad-trick/index.html	(from http://www.haktuts.com/)
16:32:08	22658/22658	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202015%2011:02:06%20GMT	http://www.haktuts.com/list-of-top-cydia-tweaks-for-ios/	C:/My%20Web%20Sites/haktut/www.haktuts.com/list-of-top-cydia-tweaks-for-ios/index.html	(from http://www.haktuts.com/)
16:32:09	93637/93637	---M--	200	added ('OK')	application/javascript	date:Tue,%2009%20Jun%202015%2015:49:34%20GMT	http://www.haktuts.com/js/jquery-1.8.3.min.js	C:/My%20Web%20Sites/haktut/www.haktuts.com/js/jquery-1.8.3.min.js	(from http://www.haktuts.com/)
16:32:10	9763/9763	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202015%2011:02:07%20GMT	http://www.haktuts.com/how-to-install-kali-linux-nethunter/	C:/My%20Web%20Sites/haktut/www.haktuts.com/how-to-install-kali-linux-nethunter/index.html	(from http://www.haktuts.com/)
16:32:12	9920/9920	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202015%2011:02:09%20GMT	http://www.haktuts.com/download-all-hacking-tools/	C:/My%20Web%20Sites/haktut/www.haktuts.com/download-all-hacking-tools/index.html	(from http://www.haktuts.com/)
16:32:12	7387/7387	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202015%2011:02:10%20GMT	http://www.haktuts.com/Contact-us/	C:/My%20Web%20Sites/haktut/www.haktuts.com/Contact-us/index.html	(from http://www.haktuts.com/)
16:32:13	101/101	---M-Z	404	error ('Not%20Found')	text/html	date:Fri,%2012%20Jun%202015%2011:02:11%20GMT	http://www.haktuts.com/img/glyphicons-halflings.png	C:/My%20Web%20Sites/haktut/www.haktuts.com/img/glyphicons-halflings.d.delayed	(from http://www.haktuts.com/css/bootstrap.min.css)
16:32:14	17038/17038	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202015%2011:02:11%20GMT	http://www.haktuts.com/Book/	C:/My%20Web%20Sites/haktut/www.haktuts.com/Book/index.html	(from http://www.haktuts.com/)
16:32:15	14738/14738	---M-Z	200	added ('OK')	text/html	date:Fri,%2012%20Jun%202015%2011:02:13%20GMT	http://www.haktuts.com/Earn-Money/	C:/My%20Web%20Sites/haktut/www.haktuts.com/Earn-Money/index.html	(from http://www.haktuts.com/)
